what is the notable types of <e> 's profession	Vince_Bell	Creative_Work	__people__person__profession|__common__topic__notable_types	Vince_Bell##__people__person__profession##Songwriter##__common__topic__notable_types##Creative_Work
what is the <e> 's place of birth 's appears in topic gallery	Claudia_Gerini	Rome	__people__person__place_of_birth|__common__image__appears_in_topic_gallery	Claudia_Gerini##__people__person__place_of_birth##Rome##__common__image__appears_in_topic_gallery##Rome
what is the <e> 's track 's lyricist	The_B.B._&_Q._Band	Kumi_Koda	__music__artist__track|__music__composition__lyricist	The_B.B._&_Q._Band##__music__artist__track##Stay##__music__composition__lyricist##Kumi_Koda
what is the <e> 's artist 's album	Ritmo_de_la_Noche	Elegant_Gypsy|This_Is_Jazz_31|He_&_Carmen|The_Rite_of_Strings|Anthology|All_Your_Life|World_Sinfonia|The_Guitar_Hero|The_Infinite_Desire|Acoustic_Anthology|Tirami_Su|Ritmo_de_la_Noche|The_Collection|Electric_Rendezvous|Casino|Winter_Nights|Vocal_Rendezvous|Revisited|Sunday_in_Boston|Kiss_My_Axe	__music__album__artist|__music__artist__album	Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Elegant_Gypsy|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##This_Is_Jazz_31|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##He_&_Carmen|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##The_Rite_of_Strings|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Anthology|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##All_Your_Life|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##World_Sinfonia|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##The_Guitar_Hero|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##The_Infinite_Desire|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Acoustic_Anthology|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Tirami_Su|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Ritmo_de_la_Noche|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##The_Collection|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Electric_Rendezvous|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Casino|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Winter_Nights|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Vocal_Rendezvous|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Revisited|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Sunday_in_Boston|Ritmo_de_la_Noche##__music__album__artist##Al_Di_Meola##__music__artist__album##Kiss_My_Axe
what is the releases of <e> 's artist	Amsterdam	Another_Day	__music__recording__artist|__music__album__releases	Amsterdam##__music__recording__artist##Another_Day##__music__album__releases##Another_Day
what is the versions of <e> 's versions	Day_of_the_Dead	Day_of_the_Dead	__music__single__versions|__music__single__versions	Day_of_the_Dead##__music__single__versions##Day_of_the_Dead##__music__single__versions##Day_of_the_Dead
what is the recording of <e> 's country	Kariyilakkattu_Pole	India	__film__film__country|__music__release_track__recording	Kariyilakkattu_Pole##__film__film__country##India##__music__release_track__recording##India
what is the tracks of <e> 's tracks	O_Holy_Night	O_Holy_Night	__music__recording__tracks|__music__recording__tracks	O_Holy_Night##__music__recording__tracks##O_Holy_Night##__music__recording__tracks##O_Holy_Night
what is the <e> 's founders 's costume design for film	Givenchy	Crack_in_the_Mirror|Charade|Sabrina	__organization__organization__founders|__film__film_costumer_designer__costume_design_for_film	Givenchy##__organization__organization__founders##Hubert_de_Givenchy##__film__film_costumer_designer__costume_design_for_film##Crack_in_the_Mirror|Givenchy##__organization__organization__founders##Hubert_de_Givenchy##__film__film_costumer_designer__costume_design_for_film##Charade|Givenchy##__organization__organization__founders##Hubert_de_Givenchy##__film__film_costumer_designer__costume_design_for_film##Sabrina
what is the tracks of <e> 's tracks	This_Is_the_End	This_Is_the_End	__music__recording__tracks|__music__recording__tracks	This_Is_the_End##__music__recording__tracks##This_Is_the_End##__music__recording__tracks##This_Is_the_End
what is the <e> 's recording 's artist	Amsterdam	Another_Day	__music__release_track__recording|__music__recording__artist	Amsterdam##__music__release_track__recording##Amsterdam##__music__recording__artist##Another_Day
what is the <e> 's tracks 's tracks	Nero	Nero	__music__recording__tracks|__music__recording__tracks	Nero##__music__recording__tracks##Nero##__music__recording__tracks##Nero
what is the <e> 's recording 's notable types	Wake	Consumer_product|Musical_Artist	__music__release_track__recording|__common__topic__notable_types	Wake##__music__release_track__recording##Wake##__common__topic__notable_types##Consumer_product|Wake##__music__release_track__recording##Wake##__common__topic__notable_types##Musical_Artist
what is the release of <e> 's track	The_Great_Red_Spot	Deodato_2	__music__release__track|__music__release_track__release	The_Great_Red_Spot##__music__release__track##Venus##__music__release_track__release##Deodato_2
what is the <e> 's titles 's film casting director	Cult_Comedies	Sally_Dennison	__media_common__netflix_genre__titles|__film__film__film_casting_director	Cult_Comedies##__media_common__netflix_genre__titles##Heathers##__film__film__film_casting_director##Sally_Dennison
what is the recording of <e> 's genre	Imagination	Fantasy	__film__film__genre|__music__release_track__recording	Imagination##__film__film__genre##Fantasy##__music__release_track__recording##Fantasy
what is the <e> 's country 's recording	Aaha_Kalyanam	India	__film__film__country|__music__release_track__recording	Aaha_Kalyanam##__film__film__country##India##__music__release_track__recording##India
what is the <e> 's containedby 's people born here	Brahmakulam	Suma_Kanakala|Roysten_Abel|R._Sugathan|K._M._Cherian|Rishi|T._M._Jacob|N.P._Prakash|Sangeeth_Sivan|Shyamaprasad|Tapovan_Maharaj|Bhagyalakshmi|Aparna_Nair|Kannam_Kulam_Abdulla|M._N._Vijayan|A._Ayyappan|Rajan_Pillai|Wahid_Sali|Prakash_Bobby|K_Hari_Kumar|Sunny_Joseph|C._N._Balakrishnan|Usharani_Nair|Preethi_Nair|Shashi_Warrier|Venu_Nair|Nimisha_Suresh|Eknath_Easwaran|Sohan_Roy|V._M._Sudheeran|Jeet_Thayil|C.K._Vineeth|Suma_Josson|Joseph_Mundassery|Sathaar|K._V._Simon|Sudheesh|Suresh_Balaje|Sibi_K._Thomas|Helen_Mary|Ali_Akbar|Rajeev_Sreenivasa|Theresa_Setlur|Mor_Severios|Kalpana|Lalu_KV|Anusree|N._R._Pillai|Vellapally_Natesan|Rekha_Mallick|V._K._N.|Tom_George|P._Vasu	__location__location__containedby|__location__location__people_born_here	Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suma_Kanakala|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Roysten_Abel|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##R._Sugathan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K._M._Cherian|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rishi|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##T._M._Jacob|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##N.P._Prakash|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sangeeth_Sivan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Shyamaprasad|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Tapovan_Maharaj|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Bhagyalakshmi|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Aparna_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Kannam_Kulam_Abdulla|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##M._N._Vijayan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##A._Ayyappan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rajan_Pillai|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Wahid_Sali|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Prakash_Bobby|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K_Hari_Kumar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sunny_Joseph|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##C._N._Balakrishnan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Usharani_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Preethi_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Shashi_Warrier|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Venu_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Nimisha_Suresh|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Eknath_Easwaran|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sohan_Roy|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##V._M._Sudheeran|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Jeet_Thayil|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##C.K._Vineeth|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suma_Josson|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Joseph_Mundassery|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sathaar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K._V._Simon|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sudheesh|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suresh_Balaje|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sibi_K._Thomas|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Helen_Mary|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Ali_Akbar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rajeev_Sreenivasa|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Theresa_Setlur|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Mor_Severios|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Kalpana|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Lalu_KV|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Anusree|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##N._R._Pillai|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Vellapally_Natesan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rekha_Mallick|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##V._K._N.|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Tom_George|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##P._Vasu
what is the song of <e> 's song	Believe	Believe	__music__recording__song|__music__recording__song	Believe##__music__recording__song##Believe##__music__recording__song##Believe
what is the <e> 's place of death 's releases	Norman_Nevills	Utah	__people__deceased_person__place_of_death|__music__album__releases	Norman_Nevills##__people__deceased_person__place_of_death##Utah##__music__album__releases##Utah
what is the <e> 's recording 's recording	Cycling	Cycling	__music__release_track__recording|__music__release_track__recording	Cycling##__music__release_track__recording##Cycling##__music__release_track__recording##Cycling
what is the <e> 's place of birth 's canonical version	Claudia_Gerini	Rome	__people__person__place_of_birth|__music__recording__canonical_version	Claudia_Gerini##__people__person__place_of_birth##Rome##__music__recording__canonical_version##Rome
what is the <e> 's place of birth 's events	Jamal_Badawi	Caesar's_Civil_War	__people__person__place_of_birth|__location__location__events	Jamal_Badawi##__people__person__place_of_birth##Egypt##__location__location__events##Caesar's_Civil_War
what is the <e> 's track list 's genre	Take_It_to_the_Limit	News	__music__release__track_list|__broadcast__content__genre	Take_It_to_the_Limit##__music__release__track_list##Up_All_Night##__broadcast__content__genre##News
what is the <e> 's country 's teams	Them	Strasbourg_IG|A1_Team_France	__film__film__country|__sports__sports_team_location__teams	Them##__film__film__country##France##__sports__sports_team_location__teams##Strasbourg_IG|Them##__film__film__country##France##__sports__sports_team_location__teams##A1_Team_France
what is the <e> 's recording 's recording	Wake	Wake	__music__release_track__recording|__music__release_track__recording	Wake##__music__release_track__recording##Wake##__music__release_track__recording##Wake
what is the recording of <e> 's athletes	Triathlon	Belgium	__olympics__olympic_participating_country__athletes|__music__release_track__recording	Triathlon##__olympics__olympic_participating_country__athletes##Belgium##__music__release_track__recording##Belgium
what is the versions of <e> 's versions	Busted	Busted	__music__single__versions|__music__single__versions	Busted##__music__single__versions##Busted##__music__single__versions##Busted
what is the <e> 's containedby 's people born here	Brahmakulam	Suma_Kanakala|Roysten_Abel|R._Sugathan|K._M._Cherian|Rishi|T._M._Jacob|N.P._Prakash|Sangeeth_Sivan|Shyamaprasad|Tapovan_Maharaj|Bhagyalakshmi|Aparna_Nair|Kannam_Kulam_Abdulla|M._N._Vijayan|A._Ayyappan|Rajan_Pillai|Wahid_Sali|Prakash_Bobby|K_Hari_Kumar|Sunny_Joseph|C._N._Balakrishnan|Usharani_Nair|Preethi_Nair|Shashi_Warrier|Venu_Nair|Nimisha_Suresh|Eknath_Easwaran|Sohan_Roy|V._M._Sudheeran|Jeet_Thayil|C.K._Vineeth|Suma_Josson|Joseph_Mundassery|Sathaar|K._V._Simon|Sudheesh|Suresh_Balaje|Sibi_K._Thomas|Helen_Mary|Ali_Akbar|Rajeev_Sreenivasa|Theresa_Setlur|Mor_Severios|Kalpana|Lalu_KV|Anusree|N._R._Pillai|Vellapally_Natesan|Rekha_Mallick|V._K._N.|Tom_George|P._Vasu	__location__location__containedby|__location__location__people_born_here	Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suma_Kanakala|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Roysten_Abel|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##R._Sugathan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K._M._Cherian|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rishi|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##T._M._Jacob|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##N.P._Prakash|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sangeeth_Sivan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Shyamaprasad|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Tapovan_Maharaj|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Bhagyalakshmi|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Aparna_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Kannam_Kulam_Abdulla|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##M._N._Vijayan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##A._Ayyappan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rajan_Pillai|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Wahid_Sali|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Prakash_Bobby|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K_Hari_Kumar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sunny_Joseph|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##C._N._Balakrishnan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Usharani_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Preethi_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Shashi_Warrier|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Venu_Nair|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Nimisha_Suresh|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Eknath_Easwaran|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sohan_Roy|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##V._M._Sudheeran|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Jeet_Thayil|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##C.K._Vineeth|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suma_Josson|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Joseph_Mundassery|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sathaar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##K._V._Simon|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sudheesh|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Suresh_Balaje|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Sibi_K._Thomas|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Helen_Mary|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Ali_Akbar|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rajeev_Sreenivasa|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Theresa_Setlur|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Mor_Severios|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Kalpana|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Lalu_KV|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Anusree|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##N._R._Pillai|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Vellapally_Natesan|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Rekha_Mallick|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##V._K._N.|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##Tom_George|Brahmakulam##__location__location__containedby##Kerala##__location__location__people_born_here##P._Vasu
what is the <e> 's award nominations 's award nominations	Hal_Holbrook	Lincoln|Sybil	__award__award_nominee__award_nominations|__award__award_nominated_work__award_nominations	Hal_Holbrook##__award__award_nominee__award_nominations##Sally_Field##__award__award_nominated_work__award_nominations##Lincoln|Hal_Holbrook##__award__award_nominee__award_nominations##Sally_Field##__award__award_nominated_work__award_nominations##Sybil
what is the works of <e> 's organism type	Success_Express	Black_Beauty|Horse_Anatomy|Sidesaddle|Reining_in	__biology__organism__organism_type|__book__book_subject__works	Success_Express##__biology__organism__organism_type##Horse##__book__book_subject__works##Black_Beauty|Success_Express##__biology__organism__organism_type##Horse##__book__book_subject__works##Horse_Anatomy|Success_Express##__biology__organism__organism_type##Horse##__book__book_subject__works##Sidesaddle|Success_Express##__biology__organism__organism_type##Horse##__book__book_subject__works##Reining_in
what is the canonical version of <e> 's place of birth	Hugo_Arana	Buenos_Aires	__people__person__place_of_birth|__music__recording__canonical_version	Hugo_Arana##__people__person__place_of_birth##Buenos_Aires##__music__recording__canonical_version##Buenos_Aires
what is the recording of <e> 's recording	Science_Fiction	Science_Fiction	__music__release_track__recording|__music__release_track__recording	Science_Fiction##__music__release_track__recording##Science_Fiction##__music__release_track__recording##Science_Fiction
what is the <e> 's releases 's release	Mean_Man	Fever	__music__recording__releases|__music__release_track__release	Mean_Man##__music__recording__releases##Baby##__music__release_track__release##Fever
what is the <e> 's organism type 's works	Hurry_to_Market	Black_Beauty|Horse_Anatomy|Sidesaddle|Reining_in	__biology__organism__organism_type|__book__book_subject__works	Hurry_to_Market##__biology__organism__organism_type##Horse##__book__book_subject__works##Black_Beauty|Hurry_to_Market##__biology__organism__organism_type##Horse##__book__book_subject__works##Horse_Anatomy|Hurry_to_Market##__biology__organism__organism_type##Horse##__book__book_subject__works##Sidesaddle|Hurry_to_Market##__biology__organism__organism_type##Horse##__book__book_subject__works##Reining_in
what is the <e> 's country 's recording	Fear	India	__film__film__country|__music__release_track__recording	Fear##__film__film__country##India##__music__release_track__recording##India
what is the teams of <e> 's subjects	My_Life_in_France	Strasbourg_IG|A1_Team_France	__book__written_work__subjects|__sports__sports_team_location__teams	My_Life_in_France##__book__written_work__subjects##France##__sports__sports_team_location__teams##Strasbourg_IG|My_Life_in_France##__book__written_work__subjects##France##__sports__sports_team_location__teams##A1_Team_France
what is the teams of <e> 's nationality	Philippe_de_Broca	Strasbourg_IG|A1_Team_France	__people__person__nationality|__sports__sports_team_location__teams	Philippe_de_Broca##__people__person__nationality##France##__sports__sports_team_location__teams##Strasbourg_IG|Philippe_de_Broca##__people__person__nationality##France##__sports__sports_team_location__teams##A1_Team_France
what is the award nominations of <e> 's award nominations	Spider-Man_2	Steve_Ditko|Michael_Chabon|David_Koepp	__award__award_nominee__award_nominations|__award__award_nominee__award_nominations	Spider-Man_2##__award__award_nominee__award_nominations##Sam_Raimi##__award__award_nominee__award_nominations##Steve_Ditko|Spider-Man_2##__award__award_nominee__award_nominations##Sam_Raimi##__award__award_nominee__award_nominations##Michael_Chabon|Spider-Man_2##__award__award_nominee__award_nominations##Sam_Raimi##__award__award_nominee__award_nominations##David_Koepp
what is the <e> 's tracks 's canonical version	Lost	Lost	__music__recording__tracks|__music__recording__canonical_version	Lost##__music__recording__tracks##Lost##__music__recording__canonical_version##Lost
what is the <e> 's tracks 's releases	O_Holy_Night	Carol_of_the_Bells	__music__recording__tracks|__music__recording__releases	O_Holy_Night##__music__recording__tracks##O_Holy_Night##__music__recording__releases##Carol_of_the_Bells
what is the <e> 's nationality 's recording	Prem_Krishen	India	__people__person__nationality|__music__release_track__recording	Prem_Krishen##__people__person__nationality##India##__music__release_track__recording##India
what is the <e> 's organism type 's works	Maintenon	Black_Beauty|Horse_Anatomy|Sidesaddle|Reining_in	__biology__organism__organism_type|__book__book_subject__works	Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Black_Beauty|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Horse_Anatomy|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Sidesaddle|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Reining_in
what is the <e> 's recording 's release	Telephone	Blood_on_My_Blazer	__music__release_track__recording|__music__release_track__release	Telephone##__music__release_track__recording##Telephone##__music__release_track__release##Blood_on_My_Blazer
what is the album of <e> 's artist	Habanera	Elegant_Gypsy|This_Is_Jazz_31|He_&_Carmen|The_Rite_of_Strings|Anthology|All_Your_Life|World_Sinfonia|The_Guitar_Hero|The_Infinite_Desire|Acoustic_Anthology|Tirami_Su|Ritmo_de_la_Noche|The_Collection|Electric_Rendezvous|Casino|Winter_Nights|Vocal_Rendezvous|Revisited|Sunday_in_Boston|Kiss_My_Axe	__music__recording__artist|__music__artist__album	Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Elegant_Gypsy|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##This_Is_Jazz_31|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##He_&_Carmen|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##The_Rite_of_Strings|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Anthology|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##All_Your_Life|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##World_Sinfonia|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##The_Guitar_Hero|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##The_Infinite_Desire|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Acoustic_Anthology|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Tirami_Su|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Ritmo_de_la_Noche|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##The_Collection|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Electric_Rendezvous|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Casino|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Winter_Nights|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Vocal_Rendezvous|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Revisited|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Sunday_in_Boston|Habanera##__music__recording__artist##Al_Di_Meola##__music__artist__album##Kiss_My_Axe
what is the teams of <e> 's athletes	Triathlon	Strasbourg_IG|A1_Team_France	__olympics__olympic_participating_country__athletes|__sports__sports_team_location__teams	Triathlon##__olympics__olympic_participating_country__athletes##France##__sports__sports_team_location__teams##Strasbourg_IG|Triathlon##__olympics__olympic_participating_country__athletes##France##__sports__sports_team_location__teams##A1_Team_France
what is the <e> 's album 's notable types	James_Plotkin	Film_character	__music__artist__album|__common__topic__notable_types	James_Plotkin##__music__artist__album##Aurora##__common__topic__notable_types##Film_character
